,user_ID,name,affiliation
272,9h513rsAAAAJ,Chamath DY Yahampath Arachchige Don,"PhD student, Sirindhorn International Institute of Technology, Thammasat University"
273,rDT8OsUAAAAJ,Frederic Carral,Thammasat University
274,pxcBG9EAAAAJ,Chorney Eang,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
275,oZ6CJ6YAAAAJ,Frederic Carral,"Thammasat University, Bangkok"
276,DXcnFl0AAAAJ,Chanchai Tangruenrat,"Lecturer of Accounting, Thammasat Business School"
277,2uezSbcAAAAJ,Pit Jongwattanakul,"Faculty of Economics, Thammasat University"
278,cW56GYoAAAAJ,Sitthiphon Kruarattikan,"Associate Professor, Thammasat University"
279,lHMNqlUAAAAJ,Ekapon Thienthaworn,Thammasat University
280,UC06tasAAAAJ,Alim Bubu Swarga,"Postgraduate Student, Thammasat University"
281,PFgTJB4AAAAJ,Roongtip Duangkaew,Thammasat University
282,me74QsoAAAAJ,Vithearin CHORN,"Sirindhorn International Institute of Technology, Thammasat University"
283,ZFd-YFUAAAAJ,Sairag Sa-adprai,Thammasat University
284,LRgON_8AAAAJ,Thanatchaphan Petcharat,"College of Interdisciplinary Studies, Thammasat University"
285,hNfScgYAAAAJ,Pham Le Phuong Tu,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
286,E05cI2EAAAAJ,Anuwan Thongmooh,Thammasat University
287,M8J4XTsAAAAJ,Krit Pattamaroj,"Department of Operations Management, Thammasat Business School"
288,ikwIuPQAAAAJ,Nontawan Yomchinda,Thammasat Business School
289,rkXitr0AAAAJ,Supoj Chawawiwat,"Professor of logistics and maritime transport, Thammasat University"
290,hJmsXnEAAAAJ,APINANT Phongmethakul,"Instructor, Faculty of Architecture and Planning, Thammasat University, Thailand."
291,7HQzgrUAAAAJ,Chol Bunnag,"Faculty of Economics, Thammasat University"
292,VjdiUagAAAAJ,Wonghatai Tunshevavong,"Assoc. Prof. of Faculty of Journalism and Mass Communication, Thammasat University"
293,OGVgO6UAAAAJ,Patipat Sathaporn,"Thammasat Secondary School, Faculty of Learning sciences and Education, Thammasat …"
294,TLFWD2cAAAAJ,Benjamas Tulyanitikul,Thammasat University
295,Lnz5GzUAAAAJ,Sompoke Kingkaew,"Lecturer in Environmental Health, Thammasat University"
296,14OweVIAAAAJ,Chandra Restu Pakarti,Master Student at Sirindhorn International Institute of Technology Thammasat University
297,aD2BTokAAAAJ,Su Su Nwal,"PhD candidate, Thammasat University"
298,n0x3Lh0AAAAJ,Poompak Kusawat,"PhD Candidate, Thammasat University"
299,MAkv2BEAAAAJ,Parichart Pattarapanitchai,"PhD Candidate, Thammasat University"
